"null,""Sourced"",""Placed"",""References"",""Value"",""Footprint"",""Quantity"""
"1,"""","""",""C4, C7, C8, C9, C11, C12, C17, C18, C19, C20"",""10nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",10"
"2,"""","""",""C1, C2, C5"",""100nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",3"
"3,"""","""",""C6, C13, C15"",""10uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",3"
"4,"""","""",""C14, C16"",""2uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",2"
"5,"""","""",""C3"",""1000uF"",""CP_Radial_D8.0mm_P5.00mm"",1"
"6,"""","""",""C10"",""100uF"",""CP_Radial_D6.3mm_P2.50mm"",1"
"7,"""","""",""R9, R15, R16"",""475R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",3"
"8,"""","""",""R1, R8"",""1K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"9,"""","""",""R11, R13"",""174R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"10,"""","""",""R12, R14"",""274R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"11,"""","""",""R17, R18"",""47R5"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"12,"""","""",""R2"",""2K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"13,"""","""",""R3"",""47K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"14,"""","""",""R4"",""0.5R/3W"",""R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"",1"
"15,"""","""",""R5"",""10K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"16,"""","""",""R6"",""120R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"17,"""","""",""R7"",""470R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"18,"""","""",""R10"",""1K5"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"19,"""","""",""D1"",""SS54"",""D_1210_3225Metric_Pad1.42x2.65mm_HandSolder"",1"
"20,"""","""",""U3, U4"",""LM7171xIM"",""SOIC-8_3.9x4.9mm_P1.27mm"",2"
"21,"""","""",""U1"",""REF02"",""SOIC-8_3.9x4.9mm_P1.27mm"",1"
"22,"""","""",""U2"",""Oscilloquartz_8663"",""Oscilloquartz_8663"",1"
"23,"""","""",""FB1, FB4, FB5"",""1K"",""L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"",3"
"24,"""","""",""TR1, TR2"",""PE-65612"",""PE-65612"",2"
"25,"""","""",""FB2"",""2A"",""L_Axial_L7.0mm_D3.3mm_P2.54mm_Vertical_Fastron_MICC"",1"
"26,"""","""",""FB3"",""2A"",""L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"",1"
"27,"""","""",""H1"",""MountingHole_Pad"",""MountingHole_3.2mm_M3_DIN965_Pad_TopBottom"",1"
"28,"""","""",""RV1"",""10K"",""Potentiometer_Bourns_3053P_Horizontal"",1"
"29,"""","""",""RV2"",""5K"",""Potentiometer_Bourns_3053P_Horizontal"",1"
"30,"""","""",""TP1"",""f-adjust"",""TestPoint_Keystone_5005-5009_Compact"",1"
"31,"""","""",""TP2"",""10MHz"",""TestPoint_Keystone_5005-5009_Compact"",1"
"32,"""","""",""TP3"",""GND"",""TestPoint_Keystone_5005-5009_Compact"",1"
"33,"""","""",""J3, J4"",""10MHz sine"",""SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"",2"
"34,"""","""",""J1"",""DC-IN"",""TerminalBlock_Altech_AK300-2_P5.00mm"",1"
"35,"""","""",""J5"",""Conn_01x02_Pin"",""PinHeader_1x02_P2.54mm_Vertical"",1"
