pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
102.87,-75.184,-90.0,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
118.364,-128.27,-90.0,top,C10,,,CP_Radial_D6.3mm_P2.50mm,100uF,tht
105.156,-98.687,-90.0,top,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
106.426,-125.4975,-90.0,top,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
90.17,-135.382,0.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
85.344,-132.08,90.0,top,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2uF,smt
90.678,-108.204,0.0,top,C15,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
86.36,-104.902,90.0,top,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2uF,smt
88.392,-132.08,-90.0,top,C17,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
89.154,-104.902,-90.0,top,C18,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
90.424,-100.584,180.0,top,C19,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
116.84,-78.486,-90.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
89.916,-127.762,180.0,top,C20,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
144.0688,-147.7264,180.0,top,C21,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
155.448,-142.748,-90.0,top,C3,,,CP_Radial_D8.0mm_P5.00mm,1000uF,tht
155.448,-132.08,90.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
153.162,-76.962,90.0,top,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
167.386,-125.1927,-90.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
171.958,-125.1927,-90.0,top,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
119.38,-123.952,0.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
116.078,-116.332,180.0,top,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
156.972,-136.906,0.0,top,D1,,,D_1210_3225Metric_Pad1.42x2.65mm_HandSolder,SS54 or S1G,smt
101.854,-71.628,0.0,top,FB1,,,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,1K,smt
162.052,-136.906,180.0,top,FB2,,,L_Axial_L7.0mm_D3.3mm_P2.54mm_Vertical_Fastron_MICC,2A,tht
159.632,-124.1552,0.0,top,FB3,,,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,2A,smt
91.694,-104.902,90.0,top,FB4,,,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,1K,smt
91.186,-132.08,90.0,top,FB5,,,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,1K,smt
171.958,-136.623,90.0,top,J1,,,TerminalBlock_Altech_AK300-2_P5.00mm,DC-IN,tht
65.4335,-130.9624,180.0,top,J3,,,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,10MHz sine,smt
65.3065,-103.171523,180.0,top,J4,,,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,10MHz sine,smt
82.2452,-146.4006,0.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
98.044,-72.644,90.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
115.062,-112.014,90.0,top,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K5,smt
102.362,-114.062,90.0,top,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174R,smt
105.156,-102.989,-90.0,top,R12,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,274R,smt
102.362,-118.856,-90.0,top,R13,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174R,smt
106.426,-129.794,-90.0,top,R14,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,274R,smt
106.426,-134.366,-90.0,top,R15,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,475R,smt
105.156,-107.323,-90.0,top,R16,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,475R,smt
85.582,-100.584,180.0,top,R17,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47R5,smt
85.344,-127.762,180.0,top,R18,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47R5,smt
116.84,-74.168,-90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2K,smt
70.04,-63.72,180.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47K,smt
152.527,-124.2314,0.0,top,R4,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,0.5R/3W,smt
89.424,-146.304,180.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
124.968,-117.348,-90.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120R,smt
120.904,-117.364,-90.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470R,smt
115.062,-124.968,90.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
115.062,-120.142,90.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,475R,smt
62.3934,-69.4216,0.0,top,RV1,,,Potentiometer_Bourns_3059P_Horizontal,10K,tht
62.45005,-77.4834,0.0,top,RV2,,,Potentiometer_Bourns_3059P_Horizontal,5K,tht
102.108,-87.884,0.0,top,TP1,,,TestPoint_Keystone_5000-5004_Miniature,f-adjust,tht
97.536,-116.332,0.0,top,TP2,,,TestPoint_Keystone_5000-5004_Miniature,10MHz,tht
124.079,-147.1676,0.0,top,TP3,,,TestPoint_Keystone_5005-5009_Compact,GND,tht
75.946,-105.711523,180.0,top,TR1,,,PE-65612,PE-65612,tht
76.073,-133.3754,180.0,top,TR2,,,PE-65612,PE-65612,tht
109.412,-74.803,0.0,top,U1,,,SOIC-8_3.9x4.9mm_P1.27mm,REF02,smt
153.162,-100.33,0.0,top,U2,,,Oscilloquartz_8663,Oscilloquartz_8663,tht
97.79,-103.124,180.0,top,U3,,,SOIC-8_3.9x4.9mm_P1.27mm,LM7171xIM,smt
97.028,-130.302,180.0,top,U4,,,SOIC-8_3.9x4.9mm_P1.27mm,LM7171xIM,smt
150.2664,-151.9174,180.0,top,U5,,,TO-220-3_Vertical,LM7812,tht
